case_id,State abv.,Metro,Areaname,County,Family,Housing,Food,Transportation,Healthcare,Other Necessities ,Childcare,Taxes,Total,median_family_income,num_counties_in_st,st_cost_rank,st_med_aff_rank,st_income_rank
259,CO,0,"Custer County, CO",Custer County,2p2c,"$10,344","$9,115","$17,005","$13,084","$7,051","$12,374","$8,030","$77,002"," 65,133 ", 64 , 37 , 29 , 36 
260,CO,0,"Delta County, CO",Delta County,2p2c,"$11,772","$9,624","$15,677","$12,078","$7,753","$12,619","$8,174","$77,697"," 63,045 ", 64 , 35 , 22 , 44 
261,CO,1,"Denver-Aurora-Lakewood, CO MSA",Denver County,2p2c,"$18,321","$10,913","$13,611","$11,880","$10,593","$20,453","$12,514","$98,287"," 90,000 ", 64 , 11 , 38 , 18 
262,CO,0,"Dolores County, CO",Dolores County,2p2c,"$9,000","$10,734","$16,526","$12,078","$7,150","$11,821","$7,592","$74,900"," 57,439 ", 64 , 52 , 14 , 51 
263,CO,1,"Denver-Aurora-Lakewood, CO MSA",Douglas County,2p2c,"$24,107","$10,704","$16,152","$11,880","$12,613","$23,771","$17,242","$116,469"," 138,551 ", 64 , 1 , 64 , 1 
264,CO,0,"Eagle County, CO",Eagle County,2p2c,"$20,580","$10,644","$15,772","$12,078","$11,314","$16,255","$12,809","$99,451"," 96,675 ", 64 , 9 , 48 , 11 
265,CO,1,"Denver-Aurora-Lakewood, CO MSA",Elbert County,2p2c,"$16,519","$10,524","$18,230","$11,880","$9,799","$19,420","$12,717","$99,087"," 114,598 ", 64 , 10 , 63 , 4 
266,CO,1,"Colorado Springs, CO HUD Metro FMR Area",El Paso County,2p2c,"$14,400","$9,894","$14,358","$11,700","$8,803","$18,665","$10,334","$88,153"," 84,156 ", 64 , 21 , 44 , 22 
267,CO,0,"Fremont County, CO",Fremont County,2p2c,"$10,740","$9,534","$15,151","$13,084","$7,346","$12,514","$7,871","$76,241"," 62,949 ", 64 , 42 , 24 , 45 
268,CO,0,"Garfield County, CO",Garfield County,2p2c,"$14,544","$10,554","$15,080","$12,078","$9,094","$14,431","$9,807","$85,587"," 87,048 ", 64 , 23 , 52 , 20 
269,CO,1,"Denver-Aurora-Lakewood, CO MSA",Gilpin County,2p2c,"$16,197","$10,644","$17,575","$11,880","$9,726","$19,235","$12,341","$97,597"," 96,091 ", 64 , 12 , 49 , 12 
270,CO,0,"Grand County, CO",Grand County,2p2c,"$13,728","$10,824","$16,122","$12,078","$8,896","$13,977","$9,766","$85,391"," 87,745 ", 64 , 24 , 53 , 19 
271,CO,0,"Gunnison County, CO",Gunnison County,2p2c,"$12,144","$10,554","$15,123","$12,078","$8,224","$13,432","$8,707","$80,262"," 90,585 ", 64 , 29 , 60 , 16 
272,CO,0,"Hinsdale County, CO",Hinsdale County,2p2c,"$9,912","$11,273","$17,689","$12,078","$7,676","$12,156","$8,505","$79,290"," 66,627 ", 64 , 31 , 28 , 34 
273,CO,0,"Huerfano County, CO",Huerfano County,2p2c,"$10,164","$9,354","$16,267","$13,084","$7,072","$12,145","$7,797","$75,883"," 52,460 ", 64 , 44 , 5 , 58 
274,CO,0,"Jackson County, CO",Jackson County,2p2c,"$11,748","$11,543","$16,346","$12,078","$8,439","$12,976","$9,118","$82,248"," 63,077 ", 64 , 27 , 15 , 43 
